Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Ingredients,Desirability
Онигири Филадельфия с семгой и творожным сыром Пятерочка Кафе 110г,4353020,шт,1.0,4.73,5186,139.99,110 г,110.0,3.6,6.4,30.2,192.8,"рис отварной заправленный [вода, рис, соус для риса (уксус рисовый (уксус рисовый, уксус спиртовой, вода, сахар, соль), сахар, соль), масло рисовое], сёмга с/с [сёмга, соль, сахар], майонез [масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант сорбиновая кислота, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины)], сыр творожный [творог (нормализованное пастеризованное молоко, бактериальная закваска, молокосвертывающий фермент микробного происхождения), загуститель Е1422, соль, стабилизаторы: камедь рожкового дерева, гуаровая камедь, регулятор кислотности лимонная кислота, вода], огурцы свежие, соль, водоросли морские сушёные.

 На предприятии изготавливаются продукты, содержащие аллергены: молоко, сельдерей, глютен, горчица, орехи, соя, арахис, кунжут, ракообразные, моллюски, сульфиты",3
Кофе Латте 330мл,78034281,шт,1.0,4.73,2248,99.99,330 мл,330.0,6.84,6.85,9.65,127.61,"молоко с м.д.ж. 3,2%, вода питьевая, кофе натуральный жареный в зернах",1
Багет Ржаной чесночный замороженный п/ф 200г,4117904,шт,1.0,4.68,140,64.99,200 г,200.0,6.5,14.0,45.1,332.0,"Мука пшеничная хлебопекарная высшего сорта, вода питьевая, мука ржаная обдирная, масло сливочное, соль пищевая молотая, дрожжи прессованные хлебопекарные, чеснок сушеный, экстракт солодовый, петрушка сушеная. 

Содержит злаковые компоненты содержащие клейковину (глютен), продукты переработки молока. Может содержать следы кунжута, семян тыквы, семян подсолнечника, семян льна.",2
Лепешки Mission пшеничные оригинальные 250г,3439566,шт,1.0,4.93,12475,146.99,250 г,250.0,7.0,7.0,46.0,280.0,"мука пшеничная высший сорт, вода, жир специального назначения (рафинированные дезодорированные фракционированные масла: пальмовое, кокосовое, пальмоядровое, эмульгатор моно- и диглицериды жирных кислот, комплексная пищевая добавка антиокислитель (Е319, лимонная кислота)), масло подсолнечное рафинированное дезодорированное в/с, агент влагоудерживающий глицерин, разрыхлители (гидрокарбонат натрия, дигидропирофосфат натрия), регуляторы кислотности (лимонная кислота, яблочная кислота), соль, консерванты (сорбат калия, пропионат кальция, Е223), глютен, стабилизатор Е466, ароматизатор, агенты антислеживающие (фосфат кальция, Е536)",6
Лазанья Болоньезе с сыром в соусе Бешамель Мираторг 350г,4261976,шт,1.0,4.74,5003,199.99,350 г,350.0,7.5,6.4,17.1,156.5,"соус «Болоньезе» (говядина, мясо курицы механической обвалки, томаты, вода питьевая, морковь, лук репчатый, стебель сельдерея, масло растительное подсолнечное рафинированное дезодорированное, паста томатная, загуститель (крахмал кукурузный), мука хлебопекарная пшеничная высший сорт,
сахар, соль, орегано, базилик, чеснок сушеный, паприка сладкая молотая, перец черный горошек, петрушка сушеная, лавровый лист, консерванты E202,E211, ароматизатор «Томат», ароматизатор натуральный пищевой Говядина», ароматизатор «Вино», усилитель вкуса и аромата E621, антиокислитель E331, краситель
бета-каротин), тесто для лазаньи (мука из твердых сортов пшеницы высший сорт, вода, белок яичный), соус «Бешамель» (вода питьевая, маргарин, мука хлебопекарная пшеничная высший сорт, молоко сухое цельное мдж 26%, сахар, загуститель (крахмал кукурузный), соль, мускатный орех), сыр полутвердый мдж 50 % (молоко, мезофильные заквасочные организмы, молокосвертывающий препарат микробного происхождения, соль, уплотнитель хлорид кальция), молокосодержащий продукт с заменителем молочного жира мдж 50% (молоко пастеризо-
ванное, молоко восстановленное из сухого обезжиренного молока, заменитель молочного жира (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде, антиокислитель концентрат смеси токоферолов), соль, закваска мезофильных и термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения, консервант (нитрат калия), краситель аннато, ароматизатор), сыр сухой, усилитель вкуса и аромата E621, ароматизатор «Сливочное масло», ароматизатор «Сыр пармезан», консерванты E202, E211. Может содержать следы молока, глютена, сельдерея, арахиса, орехов, кунжута, горчицы, сои, яиц, рыбы, ракообразных и моллюсков",3
Перец красный сладкий,43347,кг,0.4,4.91,62698,469.99,Цена за 1 кг,400.0,1.3,0.1,5.3,27.0,перец красный сладкий,5
Розан с начинкой Черная смородина 120г,78009909,шт,1.0,4.92,18852,39.99,120 г,120.0,3.3,12.49,40.8,289.0,"мука пшеничная высший сорт, вода питьевая, начинка термостабильная (сироп глюкозный, вода питьевая, сахар, загустители (крахмал кукурузный модифицированный, Е466), жир растительный, соль поваренная, красители (диоксид титана, бета-каротин, экстракт паприки),консервант - сорбат калия, регулятор кислотности кислота винная, ароматизатор ванилин, эмульгатор (Е435)), маргарин (рафинированные дезодорированные растительные масла (пальмовое, модифицированные пальмовые), вода, эмульгаторы (Е472с, Е475), соль, консерванты (Е200, Е211), краситель (Е160а), ароматизатор масла, регулятор кислотности (Е330)), начинка плодово-ягодная (черная смородина, сахар, загуститель Е1442), регулятор кислотности Е330, консервант Е202), ароматизатор, вода), начинка термостабильная со вкусом клубники (сироп глюкозный, вода питьевая, сахар, загустители: крахмал кукурузный модифицированный, Е466, красители Е120,Е163, ароматизатор, регулятор кислотности лимонная кислота, консервант сорбат калия)), смесь сухая (сахар, загустители (Е1414, Е401), молоко сухое цельное, стабилизаторы (Е339, Е450), ароматизатор, краситель (Е160а), уплотнитель (Е516)), дрожжи, сахар, молоко сухое, соль поваренная пищевая, улучшитель хлебопекарный (пшеничная клейковина,эмульгатор(Е472е), ферментный препарат (пшеничная клейковина,антиокислитель(Е300), ферментные препараты(альфа-амилаза и гемицеллюлаза)),ароматизатор ванилин",2
Улитка Греческая с курицей и картофелем 160г,3368421,шт,1.0,4.91,98129,59.99,160 г,160.0,8.7,6.7,32.6,226.0,"мука хлебопекарная пшеничная в/с, вода, картофель, курица (вареная), лук, майонез (рафинированное дезодорированное подсолнечное масло, вода, яичный желток, соль, загуститель Е1414, регуляторы кислотности (Е330, Е260), стабилизаторы (Е412, Е415), консерванты (Е202, Е211), подсластитель (Е954, Е952), ароматизатор «Горчица», антиокислитель Е385, краситель Е160а), масло рафинированное дезодорированное подсолнечное, сахар, соль, бульон-приправа ароматика со вкусом курицы (соль, усилители вкуса и аромата (Е621, Е635), кукурузный крахмал, сахар, овощи (морковь, чеснок, петрушка, лук), специи (куркума, сельдерей), растительное масло, ароматизаторы, экстракт растительных белков, краситель Е101i), перец черный, укроп, крахмал кукурузный. Продукт содержит глютен, яйца, сельдерей. Возможно содержание следов сои, молока (включая лактозу), кунжута и продуктов их переработки",2
Ядра арахиса Красная цена жареные соленые 80г,4018544,шт,1.0,4.9,26610,37.99,80 г,80.0,28.3,48.7,9.9,590.0,"ядра арахиса, соль, растительное масло",7
Бананы Global Village,809,кг,0.5,4.91,404532,179.99,Цена за 1 кг,500.0,1.1,0.3,23.0,89.0,бананы,8
Тараллини Trattoria Turatti классические 180г,4208806,шт,1.0,4.94,10200,54.99,180 г,180.0,9.5,20.0,64.0,470.0,"Мука пшеничная хлебопекарная высшего сорта, вода, масло подсолнечное высокоолеиновое рафинированное дезодорированное, соль, спирт этиловый ректификованный из пищевого сырья. 

Содержит сахара природного (естественного) происхождения.",3
Морс облепиховый Пятерочка Кафе 0.5л,4168789,шт,1.0,4.9,2902,99.99,500 мл,500.0,0.0,0.0,13.0,52.0,"облепиховый сок, сахар, регулятор кислотности лимонная кислота, вода, минимальная объёмная доля сока и пюре 15%",2
