Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Ingredients,Desirability
Масло Золотая Семечка подсолнечное рафинированное 500мл,2046261,шт,1.0,4.93,18583,68.99,500 мл,500.0,0.0,100.0,0.0,899.0,подсолнечное рафинированное дезодорированное вымороженное масло,8
Конфеты Ferrero Rocher Молочный шоколад и лесной орех 125г,3415206,шт,1.0,4.95,4279,417.99,125 г,125.0,8.2,42.7,44.4,592.0,"молочный шоколад 30,2% (сахар, какао-масло, тертое какао, сухое
обезжиренное молоко, молочный жир, эмульгатор (соевый лецитин),
идентичный натуральному ароматизатор (ванилин)), лесные орехи 28,8%
, сахар, растительное масло, пшеничная мука, сухая молочная
сыворотка, обезжиренный какао-порошок, эмульгатор (соевый
лецитин), разрыхлитель (гидрокарбонат натрия), соль, идентичный
натуральному ароматизатор (ванилин)",2
Масло кунжутное Ароматы жизни нерафинированное 250мл,3387133,шт,1.0,4.92,241,308.99,250 мл,250.0,0.0,99.8,0.0,898.0,100% нерафинированное масло кунжутное,4
Соус Чим-Чим сладкий чили 220г,4178295,шт,1.0,4.92,2478,192.99,220 г,220.0,0.5,0.0,49.0,200.0,"сахар, вода питьевая, фруктоза, перец красный чили, чеснок, соль, загустители (Е1442, ксантановая камедь), регулятор кислотности уксусная кислота. На предприятии используются арахис, горчица, кунжут, молоко, моллюски, орехи, ракообразные, рыба, сельдерей, соя, яйца, злаки, содержащие глютен, и продукты их переработки",3
Йогурт питьевой АктиБио злаки 1.6% 870г,4298983,шт,1.0,4.95,11517,175.99,870 г,870.0,3.0,1.6,11.0,70.0,"нормализованное молоко, восстановленное молоко из сухого молока, наполнитель (вода, сахар, мюсли (пшеница, овес), ржаные отруби, концентрированный сок яблока, ароматизатор натуральный, сок лимона концентрированный, кукурузный крахмал), сахар, йогуртовая закваска, бифидобактерии B. Lactis*.   * Эксклюзивные бифидобактерии B.Lactis CNCM I-2494",3
Чипсы картофельные Lay's Краб 70г,4277063,шт,1.0,4.94,21991,92.99,70 г,70.0,6.0,32.0,53.0,520.0,"картофель, растительные масла*, ароматизатор (сахар, соль, порошок молочной сыворотки, вкусоароматические вещества (содержат термический технологический ароматизатор), усилитель вкуса и аромата (глутамат натрия 1-замещенный), специи (содержат порошок паприки, белый перец), краситель (экстракт паприки))",1
Коктейль тропический Global Village в сиропе 565г,4091341,шт,1.0,4.81,4212,169.99,565 г,565.0,0.0,0.0,13.8,100.0,"Вода, ананас, красная папайя, желтая папайя, гуава, сахар, регулятор кислотности: лимонная кислота.",5
Грудинка Останкино Премиум из свинины копчено-вареная 300г,4356314,шт,1.0,4.92,7576,263.99,300 г,300.0,11.0,27.0,0.0,233.0,"свинина, вода, белковый стабилизатор (шкура свиная, вода), крахмал картофельный, смесь посолочно-нитритная (соль, фиксатор окраски нитрит натрия), соль, регуляторы кислотности: трифосфаты, пирофосфаты и полифосфаты, ацетаты натрия, цитраты натрия; сахар, ароматизаторы, антиокислитель аскорбат натрия, усилитель вкуса и аромата глутамат натрия, чеснок сухой, краситель кармины.
На предприятии используются яйца, соя, молоко, горчица, сельдерей, злаки и продукты их переработки.",4
Приправа Sicilia сок лимона натуральная 115мл,35242,шт,1.0,4.93,7848,79.99,115 мл,115.0,0.4,0.0,9.5,30.0,"сок лимона, консервант: пиросульфат калия (Е224); лимонное (эфирное) масло. На предприятии вырабатываются продукты с использованием молока, сои, пшеницы, яиц, горчицы",1
Кофе в зернах Bushido Sensei 227г,3965706,шт,1.0,4.91,2184,626.99,227 г,227.0,0.0,0.0,0.0,0.0,"кофейное зерно, 100% Арабика",2
Яйцо куриное С1 30шт.,3182864,шт,1.0,4.89,21983,219.99,30 шт,-1.0,4.8,41.4,6.6,417.0,Яйца.,10
Кофе Lebo Принц Лебо арабика молотый для турки 100г,3014322,шт,1.0,4.92,4060,197.99,100 мл,100.0,0.0,0.0,0.0,97.5,кофе жареный молотый арабика среднеобжаренный,2
Донат с клубничной начинкой 70г,78034294,шт,1.0,4.92,23780,49.99,70 г,70.0,5.5,9.0,48.0,290.0,"тесто: мука пшеничная хлебопекарная в/с, вода питьевая, сахар, крахмал кукурузный, дрожжи прессованные, смесь топленая растительно-жировая (масла растительные рафинированные дезодорированные, ароматизатор натуральный, краситель каротины), масло подсолнечное рафинированное дезодорированное вымороженное высший сорт, мука соевая дезодорированная необезжиренная, комплексная пищевая добавка улучшитель хлебопекарный для хлебобулочных и мучных кондитерских изделий (мука пшеничная термообработанная, эмульгаторы (Е481, Е472е), ароматизатор, неактивные дрожжи, агенты антислеживающие (Е170, Е341iii), антиокислитель (Е300), технологические вспомогательные средства ферменты микробного происхождения)), молоко сухое цельное (молоко цельное, молоко обезжиренное), соль (содержит агент антислеживающий Е536), технологическое вспомогательное средство ферментный препарат для муки и теста. (мука пшеничная термообработанная, технологическое вспомогательное средство ферментный препарат микробного происхождения)), пищевые волокна (пшеничные), пищевая добавка: агент влагоудерживающий (Е422), комплексная пищевая добавка улучшитель для хлебобулочных изделий (мука пшеничная, эмульгаторы (Е472е, Е471), разрыхлители (Е341ii, Е500ii), технологическое вспомогательное средство ферментный концентрат микробного происхождения)), антиокислитель (Е300)), дрожжи хлебопекарные сухие дезактивированные, закваска пшеничная сухая для приготовления хлебобулочных изделий (продукты помола пшеницы, вода, заквасочные культуры (молочнокислые бактерии, уксуснокислые бактерии, дрожжи)), комплексная пищевая добавка улучшитель муки и теста (растительное волокно (подорожник, картофель, горох), мука пшеничная термообработанная, технологические вспомогательные вещества ферменты микробного происхождения)), продукты яичные: сухой яичный ферментированный белок (обессахаренный), пищевая добавка: эмульгатор (Е481), куркума молотая. Начинка: изделия кондитерские сахаристые: начинка ""Клубничная"" (клубника, сахар, вода, крахмал кукурузный, загустители: пектины, ксантановая камедь; ароматизатор натуральный - Клубника, регулятор кислотности (Е330), краситель (Е120), консервант (Е202)), глазурь основная: полуфабрикат кондитерский: крем для начинок и покрытий Клубника (сахар, жир нелауринового типа на основе рафинированных дезодорированных фракционированных растительных масел, молоко сухое обезжиренное, сыворотка сухая молочная, обезвоженный молочный жир, какао масло, эмульгаторы (соевый Е322, Е472а), ароматизатор клубника, краситель (Е124), кармины)), глазурь декор: кондитерский полуфабрикат: отделка и начинка (сахар, растительные масла и жиры (жиры (пальмовые), масла (подсолнечные, соевые, рапсовые), сухая молочная сыворотка, эмульгатор соевый лецитины, ароматизатор)), глазурь кондитерская (сахар, растительные жиры (пальмоядровые), сухая молочная сыворотка, лактоза, эмульгатор подсолнечный лецитины, ароматизатор), жир фритюрный (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде (подсолнечное, олеин пальмовый), эмульгаторы (Е471, Е436), агент влагоудерживающий (Е1520), антиокислители (Е319, Е330), пеногаситель (Е900)).
Содержит глютен, сою, яйца, молоко (включая лактозу) и продукты их переработки. Возможно содержание аллергенов: горчица, кунжут, арахис, орехи, сульфиты и продукты их переработки.",3
Манка Шебекинская из твердой пшеницы 500г,3637985,шт,1.0,4.94,4987,60.99,500 г,500.0,13.0,1.0,72.0,350.0,крупа манная марки Т: манка (из твердой пшеницы (дурум)),8
Хлеб Черемушки Московский 340г,4010437,шт,1.0,4.89,5031,54.99,340 г,340.0,7.0,1.0,46.0,220.0,"мука ржаная обдирная хлебопекарная, мука пшеничная хлебопекарная первого сорта, вода питьевая, сахар, соль, дрожжи хлебопекарные прессованные",5
Набор кондитерской продукции Milka Новогодний экспресс 348г,4371912,шт,1.0,4.89,741,,348 г,348.0,3.8,23.0,63.0,481.0,"Пирожное бисквитное «милка» с шоколадной начинкой и кусочками молочного шоколада: мука пшеничная, сахар, сироп глюкозно-фруктозный, масло рапсовое, яйца, вода, агент влагоудерживающий (глицерин), какао тертое, молоко сухое цельное, масло какао, молоко сухое обезжиренное, крахмал кукурузный, разрыхлители (дигидропирофосфат натрия, гидрокарбонат натрия), сыворотка сухая молочная, какао-порошок, соль, эмульгаторы (лецитин соевый, эфиры полиглицерина и жирных кислот), ароматизаторы, загуститель (ксантановая камедь), регуляторы кислотности (карбонат аммония, гидроксид натрия). Может содержать следы фундука.
Батончик «picnic» конфета с арахисом и изюмом, начинкой из мягкой карамели, вафель и воздушного риса, покрытая молочным шоколадом: сахар, арахис обжаренный дробленый, изюм, масла растительные (пальмовое, рапсовое), мука пшеничная, масло какао, воздушный рис (мука рисовая, сахар, ячменно-солодовый экстракт, масло пальмовое, соль), сыворотка сухая молочная, какао тертое, молоко сухое цельное, сироп глюкозный, какао-порошок, эмульгаторы (лецитин соевый, Е476, Е471), загуститель (Е422), соль, регуляторы кислотности (гидрокарбонат натрия, кислота лимонная), ароматизаторы, грецкий орех обжаренный дробленый. Может содержать следы других орехов.
Шоколад молочный «милка» с фундуком: сахар, масло какао, какао тертое, фундук обжаренный дробленый, молоко сухое цельное, сыворотка сухая молочная, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый, Е476), фундук обжаренный тертый, ароматизатор. Может содержать следы арахиса, других орехов и пшеницы.
Шоколад молочный «милка» с карамельной начинкой (код соответствующего состава продукта (1 или 2) указан рядом с номером партии набора): 1 - сахар, сироп глюкозный, масло какао, какао тертое, сыворотка сухая молочная, жир растительный (масло пальмовое), молоко сухое цельное, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый, Е471, Е476), ароматизаторы, паста ореховая (фундук), соль, регуляторы кислотности (Е500(ії), кислота лимонная). 2 - сахар, сироп глюкозный, масло какао, какао тертое, глюкозно-фруктозный сироп, сыворотка сухая молочная, жир растительный (масло пальмовое), молоко сухое цельное, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый, Е471, Е476), паста ореховая (фундук), ароматизаторы, соль, регулятор кислотности (Е500(1)). Может содержать следы других орехов.",1
Сахар Сытое царство белый кристаллический свекловичный 500г,4369952,шт,1.0,4.89,2797,39.99,500 г,500.0,0.0,0.0,100.0,400.0,сахар,4
Блины с ветчиной и сыром С Пылу с Жару 360г,3426375,шт,1.0,4.85,5527,,360 г,360.0,5.0,7.0,17.0,150.0,"тесто: вода питьевая, мука пшеничная хлебопекарная высшего сорта, сыворотка молочная, меланж яичный пастеризованный (продукты яичные), масло растительное, сахар, соль, разрыхлитель: гидрокарбонат натрия, регулятор кислотности: кислота лимонная; начинка: ветчина (свинина, вода питьевая, мясо птицы, крахмал картофельный, комплексный состав для рассолов (загустители: каррагинан, стабилизатор: пирофосфат, сахара (декстроза, мальтодекстрин, лактоза), соль, ароматизаторы (тип бульон, тип мясо), посолочная смесь (соль пищевая, фиксатор окраски нитрит натрия), соевый белок, соль, перец красный, кориандр, лук, чеснок, кардамон, перец чёрный, мука рисовая, виноградный сахар), продукт плавленый (вода питьевая, заменитель молочного жира (рафинированное дезодорированное пальмовое масло, антиокислитель токоферолы), крахмал картофельный нативный, сухое обезжиренное молоко, комплексная пищевая добавка (эмульгатор полифосфат натрия, регулятор кислотности цитрат натрия 3-замещенный, эмульгатор дигидропирофосфат натрия, регулятор кислотности), сыр (молоко пастеризованное, бактериальная закваска мезофильных молочнокислых микроорганизмов, молокосвёртывающий ферментный препарат микробного происхождения), соль поваренная пищевая, ароматизатор пищевой, краситель бета-каротин, регулятор кислотности лимонная кислота), сыр ((молоко обезжиренное пастеризованное, соль пищевая, закваска бактериальная мезофильных и термофильных молочнокислых микроорганизмов, уплотнитель - хлорид кальция, технологическое вспомогательное средство - сычужный фермент животного происхождения), вода питьевая, масло сливочное, молочный белок, сыр жирный (молоко нормализованное пастеризованное, соль пищевая, уплотнитель - хлорид кальция, бактериальная закваска мезофильных и термофильных молочно-кислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения), регулятор кислотности - комплексная пищевая добавка, соль пищевая, консервант - сорбат калия, краситель бета-каротин), вода питьевая, комплексная пищевая добавка (эмульгатор E406і, стабилизатор E466), соль.
Содержит: глютен, лактозу, яичные и соевые продукты. Произведен на предприятии, использующем продукцию, содержащую орехи",5
Форель Северная компания подкопченная филе-кусок 150г,4278669,шт,1.0,4.82,2027,399.99,150 г,150.0,22.0,6.0,0.0,140.0,"форель радужная (продукция аквакультуры), соль",4
Вареники Рестория с вишней 450г,4097630,шт,1.0,4.82,2587,279.99,450 г,450.0,5.0,1.0,44.0,200.0,"мука пшеничная высший сорт, вишня без косточки, вода питьевая, сахар, масло подсолнечное, соль, крахмал картофельный.
На предприятии используются продукты переработки молока, яиц, рыб, сои",5
Напиток кисломолочный Имунеле for Kids Малиновый пломбир 1.5% БЗМЖ 100г,3426770,шт,1.0,4.94,9827,32.99,95 мл,95.0,2.7,1.5,11.4,72.0,"А - молоко нормализованное, вода, сахар, глюкозно-фруктозный сироп, сок яблочный концентрированный, ароматизаторы натуральные, сок из малины концентрированный, загуститель – пектины, краситель – кармины,  регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), витаминный премикс (витамины: А, D3, Е, В6, фолиевая кислота, В12), закваска, пробиотические культуры (Lactobacillus Casei, Lactobacillus Rhamnosus); В – молоко нормализованное, сахар, вода, сок яблочный концентрированный, ароматизаторы натуральные, сок из малины концентрированный,  загуститель – пектины, краситель – кармины,  регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), витаминный премикс (витамины: А, D3, Е, В6, фолиевая кислота, В12), закваска, пробиотические культуры (Lactobacillus Casei, Lactobacillus Rhamnosus)",6
Элеш с курицей 220г,78005834,шт,1.0,4.81,29338,79.99,220 г,220.0,10.9,11.2,20.4,215.0,"мука пшеничная хлебопекарная в/с, филе куриное рубленое, картофель очищенный нарезанный, лук репчатый шинкованный, кефир обезжиренный (обезжиренное молоко, закваска на кефирных грибах), яйцо куриное пищевое столовое С1, маргарин (масла растительные рафинированные дезодорированные: пальмовое, подсолнечное, модифицированное пальмовое и его фракции, модифицированное подсолнечное, кокосовое, вода, эмульгаторы(Е471, Е475), соль, регулятор кислотности (лимонная кислота), ароматизатор, красители (Е100,Е 160b), масло сливочное, регулятор кислотности-гидрокарбонат натрия, соль, перец черный молотый",2
Молоко сгущенное Рогачевъ цельное с сахаром 8.5% БЗМЖ  270г,4147345,шт,1.0,4.93,3940,169.99,270 г,270.0,8.0,8.5,56.0,330.0,"молоко нормализованное, сахар (сахароза, лактоза)",3
Масло сливочное Станция Молочная Традиционное 82.5% БЗМЖ 175г,3948153,шт,1.0,4.91,13582,285.99,175 г,175.0,0.6,82.5,0.8,750.0,пастеризованные сливки,5
Хлебцы Magic Grain мультизлаковые тыквенные семечки-семена льна-кунжут 160г,4101075,шт,1.0,4.89,2103,,160 г,160.0,13.0,19.0,54.0,439.0,"Мука пшеничная цельнозерновая, мука ржаная цельнозерновая, мука овсяная, мука полбяная цельнозерновая, вода питьевая, семена тыквы, масло подсолнечное, хлопья ячменные, семена кунжута, семена льна, дрожжи, мед пчелиный, мука ржаная ферментированная, соль морская. 

Может содержать следы молочных и яичных продуктов, арахиса.",5
Яйцо перепелиное Селяночка 20шт.,3955995,шт,1.0,4.86,6654,159.99,20 шт,-1.0,11.9,13.1,0.0,168.0,яйца перепелиные столовые,9
Семечки От Мартина Отборные 250г,3669121,шт,1.0,4.93,7356,,250 г,250.0,20.7,52.9,5.0,578.0,обжаренные семена подсолнечника,2
Чай зеленый Curtis Hugo Cocktail 20х1.8г,3482097,шт,1.0,4.93,5017,,20 шт,-1.0,0.0,0.0,0.0,0.0,"зеленый листовой чай, ароматизатор лайм и цветы бузины, цедра цитрусовых, мята, лепестки подсолнечника, лепестки календулы",2
Кетчуп Heinz томатный 800г,4274973,шт,1.0,4.94,10319,,800 г,800.0,1.0,0.1,25.0,110.0,"вода, паста томатная, сахар, уксус натуральный, соль, экстракты специй (содержат сельдерей)",3
Рис Селяночка длиннозерный пропаренный 900г,3613676,шт,1.0,4.91,10307,,900 г,900.0,6.5,1.0,79.0,350.0,крупа рисовая шлифованная пропаренная,8
Сардина Fish House Иваси тихоокеанская натуральная 245г,4089605,шт,1.0,4.91,20416,,245 г,245.0,20.0,13.0,0.0,197.0,"cардина тихоокеанская (иваси), соль пищевая, специи (перец черный, лавровый лист измельченный)",7
Соус Чим Чим Корейская заправка для фунчозы 60г,3438199,шт,1.0,4.89,3480,70.99,60 г,60.0,3.5,65.0,8.5,630.0,"масло подсолнечное, соль, сахар, чеснок, перец черный, кориандр, перец красный, регуляторы кислотности – кислота уксусная, кислота лимонная; усилить вкуса и аромата глутамат натрия, натуральный антиокислитель токоферол",3
Вода Святой источник природная негазированная 5л,3373718,шт,1.0,4.93,9099,124.99,5 л,5000.0,0.0,0.0,0.0,0.0,"минерализация: 0,05 – 1,0 г/л. Основной состав мг/л: кальций 0,5 – 130, магний 0,5 – 50, натрий 0,2 – 100, калий 0,1 – 20, гидрокарбонаты 5 – 350, хлориды 0,5 – 200, сульфаты 0,5 – 200. Общая жесткость <7 мг-экв/л",3
Соль Адыгейская Абадзехская 450г,3686929,шт,1.0,4.95,9594,49.99,450 г,450.0,6.5,0.5,0.0,30.5,"соль поваренная пищевая, чеснок, кориандр, перец черный молотый, укроп, петрушка, чабер",1
Крабовые палочки Русское Море Краб-ролл с сыром охлажденные 180г,4125939,шт,1.0,4.9,6467,139.99,180 г,180.0,7.8,5.1,11.7,124.0,"палочки крабовые (фарш рыбный (сурими): мясо рыбы (М-минтай, Х-хек тихоокеанский, П-путассу северная, А-макруронус американский), сахар, агент влагоудерживающий сорбит, стабилизаторы: пирофосфат натрия, полифосфат натрия, регулятор кислотности трифосфат натрия; вода питьевая, крахмал картофельный, масло подсолнечное, ароматизаторы (содержат натуральные экстракты краба, креветки, устриц, усилитель вкуса и аромата глутамат натрия 1-замещенный), соль, яичный белок, загустители: каррагинан из водорослей, тары камедь; консервант сорбат калия, красители: кармины, экстракт паприки) ; начинка (сыр (молоко и сливки пастеризованные, крахмал тапиоковый, стабилизаторы: камедь рожкового дерева, гуаровая камедь, каррагинан; бактериальная закваска, пищевые волокна), творог, масло сладкосливочное, загуститель камедь целлюлозы). Продукт может содержать сою, глютен, горчицу",5
Творожок Простоквашино Вишня-банан 3.6% 110г,4280681,шт,1.0,4.93,18641,43.99,110 г,110.0,6.7,3.6,12.7,110.0,"творог обезжиренный, нормализованные сливки, наполнитель (вода, сахар, кукурузный крахмал, вишня, пюре банана, концентрированный сок черной моркови, концентрированный сок лимона, натуральные ароматизаторы, краситель – экстракт паприки), сахар. Может содержать следы глютена, орехов, соевого лецитина, яйца куриного, вишневую косточку и ее фрагменты",3
Лист лавровый Красная цена 10г,3346654,шт,1.0,4.91,19608,10.99,10 г,10.0,8.0,8.0,75.0,406.0,лавровый лист,1
Сок Сады Придонья яблоко-виноград 1л,3335518,шт,1.0,4.93,12924,,1 л,1000.0,0.0,0.0,11.5,46.0,"яблочный сок, виноградный сок. Изготовлен из концентрированных соков",2
Икра мойвы Санта Бремор с копченым лососем 180г,3976387,шт,1.0,4.94,14109,,180 г,180.0,7.0,41.0,5.5,420.0,"икра мойвы, икра сельди атлантической; масло растительное, вода питьевая, кусочки лососевых рыб подкопченные (форель радужная, семга), сахар, соль, яичный желток, красители: кармины, экстракт паприки; картофельный крахмал, сухое обезжиренное молоко, загуститель ксантановая камедь, регулятор кислотности уксусная кислота ледяная. Произведено из мороженого сырья",5
Пирожное Proteinrex Брауни Лесной Орех протеиновое 50г,4306693,шт,1.0,4.89,4483,148.99,50 г,50.0,12.0,29.0,20.0,404.0,"протеиновый комплекс (белок яичный, концентрат молочного белка, изолят соевого белка); масло кокосовое; изомальтоолигосахариды (пребиотик); масло растительное; подсластитель мальтит; загуститель полидекстроза; какао-порошок; вода питьевая; желток яичный; мука пшеничная; мука миндальная; фундук жареный дробленый; молоко сухое обезжиренное; влагоудерживающий агент глицерин; эмульгатор лецитин соевый; разрыхлитель гидрокарбонат натрия (сода пищевая); соль; ароматизатор натуральный; консервант сорбат калия. Содержит подсластитель. Продукт может содержать фрагменты скорлупы орехов, следы арахиса",4
Смесь Красная Цена Сухофрукты и орехи 100г,3455564,шт,1.0,4.84,5638,61.99,100 г,100.0,13.5,46.1,29.4,590.0,"Ананас сушеный, виноград сушеный темный, бананы сушеный, ядра арахиса жареные, ядра миндаля, ядра фундука, ядра кешью, сахар.",4
Какао-напиток Kidness растворимый с витаминами 135г,4285235,шт,1.0,4.87,3755,,135 г,135.0,3.0,1.5,86.0,370.0,"Сахар, какао-порошок, глюкозный сироп (сухой), соль, витамины: C,D.",2
Шоколад Goodmix молочный с хрустящей вафлей 40г,4357720,шт,1.0,4.94,19668,,40 г,40.0,6.1,28.0,62.0,527.0,"сахар,  сухое цельное молоко, мука пшеничная (содержит глютен), масло какао, какао тертое, жир специального назначения (масло пальмовое, эмульгатор (лецитины)), сыворотка молочная сухая, эквивалент масла какао (масло пальмовое, масло ши), молочный жир, эмульгаторы (лецитины, Е476), какао порошок, вещество для обработки муки (сульфат кальция), разрыхлитель (гидрокарбонат натрия), ароматизатор натуральный. 
Продукт может содержать арахис, орехи, яичный белок и сою",2
Картофель мытый,3093966,кг,0.6,4.84,7487,98.99,Цена за 1 кг,600.0,2.02,0.09,17.47,77.0,картофель,9
Пиво Горьковская Пивоварня IPA 0.0 светлое нефильтрованное безалкогольное 330мл,4070186,шт,1.0,4.8,288,63.99,330 мл,330.0,0.0,0.0,7.0,40.0,"вода питьевая очищенная, Солод ячменный светлый, Солодовый экстракт, карамельный сироп, хмелепродукты",2
Пельмени Цезарь Классика 800г,3666703,шт,1.0,4.87,6641,,800 г,800.0,9.1,17.2,28.1,303.6,"мука пшеничная хлебопекарная высшего сорта, говядина охлажденная, свинина, мясо куриное, вода питьевая, меланж пастеризованный (продукт яичный), лук репчатый, соль, масло растительное, натуральное пищевое волокно, перец чёрный. Произведено на предприятии, использующем горчичный порошок, соевый белок, молоко и продукты
его переработки",4
Маршмеллоу Mixbar с ароматом клубники 100г,4266204,шт,1.0,4.93,11024,76.99,100 г,100.0,3.5,0.1,79.0,330.0,"Патока крахмальная, сахар, вода питьевая, декстроза, крахмал кукурузный, желатин, ароматизатор ""Клубника"", красители: ""Азорубин"", ""Тартразин"".",2
Колбаса Папа Может Классическая из мяса птицы вареная 300г,4256868,шт,1.0,4.93,26579,89.99,300 г,300.0,8.0,14.0,0.0,158.0,"мясо птицы механической обвалки куриное, белковый стабилизатор (свиной и куриный), вода, свинина, комплексные пищевые добавки (животный белок говяжий, смесь посолочно-нитритная (соль, фиксатор окраски Е250), декстроза, регуляторы кислотности: пирофосфаты, трифосфаты, ацетаты натрия, цитраты натрия, глюконо-дельта-лактон; стабилизаторы: альгинат натрия, камеди (рожкового дерева, гуаровая, ксантановая), полифосфаты; пряности и экстракты пряностей (в том числе горчичное семя, сельдерей), усилитель вкуса и аромата Е621, уплотнитель сульфат кальция, ароматизаторы, антиокислитель изоаскорбат натрия, красител кармины); крахмал картофельный, сыворотка молочная сухая, соль, сахар",3
Лапша быстрого приготовления Роллтон По-домашнему с курицей 85г,3947753,шт,1.0,4.92,29786,,85 г,85.0,7.0,18.0,52.0,400.0,"лапша (мука пшеничная высшего сорта, масло растительное, крахмал кукурузный (содержит сульфиты) и тапиоковый, вода питьевая, соль, загуститель (гуаровая камедь), стабилизатор (карбонат калия), яичный порошок, разрыхлитель (сода пищевая), усилитель вкуса и аромата (Е621), регулятор кислотности (лимонная кислота)); бульон-приправа (соль, сахар, усилители вкуса и аромата (Е621, Е635), крахмал кукурузный, ароматизаторы, сушеные овощи (чеснок, лук репчатый), экстракт дрожжей, пряности (имбирь, перец красный, перец черный, куркума), мальтодекстрин, мясо курицы сушеное, олеин пальмовый, краситель (рибофлавин), агент антислеживающий (Е551)); овощи сушеные (морковь, соевый текстурат лук зеленый). Продукт может содержать незначительное количество сельдерея и продуктов переработки молока",3
Крупа Увелка гречневая 500г,4361230,шт,1.0,4.9,4551,,500 г,500.0,13.0,2.5,61.0,340.0,"крупа гречневая ядрица быстроразваривающаяся Экстра.
Продукт может содержать незначительное количество глютена",8
Кинза Global Village 30г,48680,шт,1.0,4.87,13096,109.99,30 г,30.0,2.1,0.5,1.9,23.0,кинза,7
"Чай черный Curtis Blue Berries blues чёрная смородина, ежевика, черника и василёк 20х1.8г",3650482,шт,1.0,4.93,9001,,20 шт,-1.0,0.0,0.0,0.0,0.0,"черный листовой чай, ароматизатор черная смородина, крыжовник и слива, кусочки черной смородины, кусочки ежевики, кусочки черники, лепестки цветов василька",2
Шоколад Kinder-Сюрприз с игрушкой внутри 53г,4372984,шт,1.0,4.92,4642,,53 г,53.0,8.8,36.2,53.9,579.0,"сахар, сухое обезжиренное молоко, растительный жир, сухое цельное молоко, масло какао, тертое какао, обезвоженный молочный жир, эмульгатор: лецитины, ароматизатор. 
Содержит игрушку
Содержит молоко, сою и продукты их переработки",2
Карамель Chupa Chups XXL Trio с жевательной резинкой в ассортименте 29г,59117,шт,1.0,4.93,12198,35.99,29 г,29.0,0.0,0.0,91.0,370.0,"1: сахар, патока (из пшеницы), основа резиновая, регуляторы кислотности (лимонная кислота, молочная кислота), красители (красный свекольный,  кармины, куркумин, медные комплексы хлорофиллов), агент влагоудерживающий (глицерин), ароматизаторы, эмульгатор (соевый лецитин), антиокислитель (E321); 
2: сахар, патока (из пшеницы), основа резиновая, регуляторы кислотности (лимонная кислота, молочная кислота), агент влагоудерживающий (глицерин), красители (красный свекольный, куркумин), ароматизаторы, экстракт солода (из ячменя), эмульгатор (соевый лецитин), антиокислитель (E321);
3: сахар, патока (из пшеницы), основа резиновая, регуляторы кислотности (лимонная кислота, молочная кислота), красители (красный свекольный,  куркумин, медные комплексы хлорофиллов, экстракт паприки), агент влагоудерживающий (глицерин), ароматизаторы, эмульгатор (соевый лецитин), антиокислитель (E321);
4: сахар, патока (из пшеницы), основа резиновая, регуляторы кислотности (лимонная кислота, молочная кислота), красители (красный свекольный,  кармины, куркумин, медные комплексы хлорофиллов), агент влагоудерживающий (глицерин), ароматизаторы, эмульгатор (соевый лецитин), антиокислитель (E321).
Может содержать следы молока и ячменя",2
Пудра Рестория сахарная 250г,4334523,шт,1.0,4.93,5935,,250 г,250.0,0.0,0.0,100.0,400.0,"Сахар белый свекловичный кристаллический измельченный категории ТС2, антислеживающий агент кукурузный крахмал (0,5%).",2
Сыр плавленый Viola Сливочный 50% БЗМЖ 200г,3908603,шт,1.0,4.92,5857,,200 г,200.0,10.0,20.0,2.5,230.0,"сыры твердые и полутвердые (содержат ферментный препарат животного происхождения – лизоцим (продукт переработки яиц)), вода питьевая, масло сливочное, сухая молочная сыворотка, молочный белок, эмульгаторы (E331(iii), E339(ii), E339(iii), E450(i), E452(i), E452(ii)), консервант – сорбиновая кислота, регулятор кислотности – лимонная кислота. Продукт может содержать следы соевого белка, глютена, рыбы и ракообразных",5
