Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Score
Карамель Lenco Единороги леденцовая ассорти вкусов + пазл 25г,4048831,шт,1.0,4.88,3502,,25 г,25.0,0.0,0.0,90.3,361.0,3.67
"Карамель Chupa Chups яблоко-карамель, ваниль-мята, мандарин в ассортименте 12г",4366035,шт,1.0,4.95,43,9.99,12 г,12.0,0.0,0.1,95.0,380.0,5.67
Набор Lenco Волшебные герои карамель леденцовая со вкусом вишни с татуировкой 12г,4368223,шт,1.0,4.86,1037,43.99,12 г,12.0,0.0,0.0,90.0,360.0,3.67
Паста шоколадно-молочная Шарлиз 350г,3283259,шт,1.0,4.9,7386,169.99,350 г,350.0,3.0,35.0,58.0,560.0,4.67
Паста шоколадно-ореховая Cuisine Royale 330г,3432542,шт,1.0,4.91,5096,,330 г,330.0,6.0,34.0,55.0,550.0,6.33
Паста Nutella с добавлением какао ореховая 350г,2157514,шт,1.0,4.94,4067,573.99,350 г,350.0,6.3,30.9,57.5,539.0,5.67
Паста Ложка силы арахисовая кремовая 200г,4335443,шт,1.0,4.82,2988,174.99,200 г,200.0,25.0,45.0,17.0,573.0,7.67
Паста Ем! Банан-фундук десертная с добавлением какао 230г,4289896,шт,1.0,4.84,2139,,230 г,230.0,5.5,39.0,51.0,580.0,5.67
Набор кондитерских изделий M&M's & Friends 117г,4308919,шт,1.0,4.91,1303,,117 г,117.0,9.5,24.6,58.7,501.0,3.33
Набор кондитерских изделий Kinder Mix 123г,4374054,шт,1.0,4.88,2343,,123 г,123.0,9.0,37.2,55.9,566.0,5.0
Сладкий календарь Конфитрейд Робло из глазури 55г,4364389,шт,1.0,4.75,3349,,55 г,55.0,1.6,33.0,63.0,555.4,5.67
Набор кондитерских изделий Minis mix подарочный 214г,4373654,шт,1.0,4.93,772,,214 г,214.0,8.0,25.0,58.0,496.0,4.67
Набор кондитерской продукции Milka Новогодний экспресс 348г,4371912,шт,1.0,4.88,537,,348 г,348.0,3.8,23.0,63.0,481.0,3.33
Сладкий подарок Konti Лесная Тайна 150г,4167432,шт,1.0,4.82,1150,,150 г,150.0,1.0,13.0,76.0,430.0,3.0
Подарок Новогодний сладкий Конти Сэнди 240г,4244297,шт,1.0,4.84,1366,,240 г,240.0,2.5,17.0,69.0,440.0,3.0
Маршмеллоу Конфитрейд сахаристые с ароматом фруктов в наборе с подарком 7г,4365061,шт,1.0,4.75,1577,,7 г,7.0,3.5,0.1,79.0,330.0,6.0
"Сладкий подарок Медвежонок Барни, Picnic, Oreo Зимнее Ассорти 272г",4248919,шт,1.0,4.93,343,,272 г,272.0,5.3,21.0,67.0,475.0,7.67
Набор подарочный Lava Lava Новогодний 110г,4372065,шт,1.0,4.84,2481,,110 г,110.0,5.5,30.0,57.0,520.0,4.33
Набор кондитерских изделий Славянка Степ Микс №1 новогодний 101г,4368534,шт,1.0,4.81,995,,101 г,101.0,9.0,29.0,50.0,498.0,4.0
Набор кондитерских изделий Зимняя избушка новогодний подарок 350г,4366829,шт,1.0,4.75,588,,350 г,350.0,2.5,19.0,68.0,450.0,2.0
Набор кондитерских изделий Славянка Любимый подарок от Славянки №1 новогодний 473г в ассортименте 1шт.,4369539,шт,1.0,4.84,409,,1 шт,475.0,3.1,17.9,65.5,440.0,5.0
Набор кондитерской продукции Milka Большой Микс 398г,4369265,шт,1.0,4.93,764,,398 г,398.0,7.2,24.0,57.0,481.0,5.33
Набор кондитерских изделий Фабрика им. Крупской Лучшее от фабрики Крупской новогодний 116г,4368533,шт,1.0,4.9,463,,116 г,116.0,4.5,28.0,58.0,508.0,6.0
Набор кондитерских изделий Бон Пари 364.5г,4372032,шт,1.0,4.91,536,,364 г,364.0,5.9,29.0,83.0,532.0,2.67
Подарок Сладкий Красный Октябрь Любимые с детства 350г,3437585,шт,1.0,4.86,208,,350 г,350.0,4.0,16.0,73.0,450.0,6.33
Набор кондитерских изделий Славянка Настоящий подарок от славянки №1 новогодний 202г,4368531,шт,1.0,4.8,378,,202 г,202.0,2.5,8.5,72.0,380.0,4.67
Набор кондитерских изделий Славянка Левушка детям Дорожный экипаж новогодний 571г,4369540,шт,1.0,4.84,702,,571 г,571.0,3.6,20.6,65.0,461.0,5.0
Набор молочного шоколада Milka Открытка с новым годом 170г,4373974,шт,1.0,4.93,439,,170 г,170.0,5.7,30.0,59.0,534.0,7.33
Набор кондитерских изделий M&M’s & Friends подарочный 514г,4369275,шт,1.0,4.9,354,,514 г,514.0,9.5,24.6,58.7,501.0,2.67
Набор кондитерских изделий Фабрика им. Крупской Белочка новогодний 61г,4368535,шт,1.0,4.8,351,,61 г,61.0,5.0,32.0,56.0,530.0,3.0
Сладкий подарок Алёнка На елку 185г,3505552,шт,1.0,4.86,290,,185 г,185.0,5.0,17.0,65.0,430.0,5.33
Набор кондитерских изделий Славянка Левушка детям Ассорти №1 новогодний 169г,4368532,шт,1.0,4.84,627,,169 г,169.0,3.3,8.5,71.0,377.0,3.0
Набор кондитерских изделий Konti Радуга Сказок 1кг,4366827,шт,1.0,4.81,410,,1 кг,1000.0,2.5,17.0,69.0,440.0,3.0
Набор кондитерской продукции Alpen Gold Многоугольник 112.98г,4372882,шт,1.0,4.83,77,,113 г,113.0,5.3,27.0,61.0,516.0,3.33
Набор кондитерских изделий Рот Фронт Фонарик новогодний 250г,3646993,шт,1.0,4.77,65,,250 г,250.0,6.0,25.0,62.0,500.0,3.0
Набор кондитерских изделий Славянка Левушка детям Новогодняя игра 228г,4368530,шт,1.0,4.81,192,,228 г,228.0,2.5,12.0,67.0,388.0,4.0
Набор кондитерской продукции Alpen Gold Большой новогодний микс снеговик 602г,4378340,шт,1.0,4.88,17,499.99,602 г,602.0,5.9,15.0,59.0,396.0,3.0
Печенье Юбилейное Традиционное витаминизированное 224г,4339348,шт,1.0,4.93,20628,83.99,224 г,224.0,7.5,18.0,67.0,467.0,6.67
Пирожное Orion Choco Pie в глазури 12x30г,3220803,шт,1.0,4.94,24737,189.99,360 г,360.0,4.5,18.0,63.0,430.0,6.33
Печенье Юбилейное молочное витаминизированное с глазурью 116г,3472180,шт,1.0,4.93,12577,69.99,116 г,116.0,7.0,21.0,65.0,480.0,7.33
Печенье Посиделкино Овсяное с кусочками шоколада 310г,91535,шт,1.0,4.91,12009,97.99,310 г,310.0,6.0,15.0,70.0,440.0,7.0
Пирожное Orion Choco Pie в глазури с обогащающей добавкой 6x30г,3206240,шт,1.0,4.94,31932,,180 г,180.0,4.8,18.0,67.0,450.0,5.33
Печенье Oreo с какао и ванильной начинкой 228г,3474314,шт,1.0,4.94,8238,172.99,228 г,228.0,4.9,20.8,68.0,478.0,5.0
"Печенье Orion Choco Boy с обогащающей добавкой, 45г",3194287,шт,1.0,4.95,15037,59.99,45 г,45.0,8.0,29.0,59.0,530.0,7.0
Печенье Oreo Original какао-ваниль 95г,3474313,шт,1.0,4.94,18575,59.99,95 г,95.0,5.6,19.0,70.0,473.0,5.0
Крекер Tuc со сметаной и луком 100г,3400349,шт,1.0,4.94,17923,68.99,100 г,100.0,8.2,22.0,63.0,483.0,6.0
Печенье-сэндвич Konti Супер Контик шоколадное 100г,3305795,шт,1.0,4.93,14075,,100 г,100.0,5.5,24.0,62.0,490.0,6.33
Печенье Юбилейное витаминизированное молочное с глазурью 232г,4027701,шт,1.0,4.93,12715,114.99,232 г,232.0,7.0,21.0,65.0,480.0,7.0
Печенье Красная Цена овсяное 400г,3026361,шт,1.0,4.89,14895,68.99,400 г,400.0,5.7,10.1,69.2,391.0,5.0
Печенье Любятово Топленое молоко 267г,4229604,шт,1.0,4.93,12193,,267 г,267.0,7.0,18.0,66.0,460.0,5.0
Печенье Кременкульское Сливочное затяжное 180г,3670173,шт,1.0,4.94,16083,53.99,180 г,180.0,7.5,11.0,72.0,422.0,7.0
Пирожное Choco Pie Chocochip & Orange со вкусом апельсина и кусочками шоколада 360г,3941480,шт,1.0,4.91,4177,,360 г,360.0,5.0,21.0,62.0,460.0,4.67
Печенье Сладкая слобода Деревенское к кофе сахарное 355г,4167059,шт,1.0,4.94,21864,119.99,355 г,355.0,8.0,18.3,66.2,462.0,6.67
Печенье Красная Цена Мария затяжное 300г,3950466,шт,1.0,4.91,7933,59.99,300 г,300.0,8.0,9.0,73.0,402.0,5.0
Печенье Хватай-Ка Овсяное классическое 400г,3603607,шт,1.0,4.91,9641,85.99,400 г,400.0,6.5,10.0,70.0,410.0,5.0
Печенье Посиделкино Овсяное классическое 320г,2023501,шт,1.0,4.91,5871,109.99,320 г,320.0,6.0,16.0,70.0,450.0,8.0
Печенье Юбилейное с овсяными хлопьями 224г,4339373,шт,1.0,4.92,5399,83.99,224 г,224.0,7.8,19.0,65.0,460.0,5.67
Изделие сдобное Мастер-Конд Невские Валентинки 200г,4222101,шт,1.0,4.9,4307,119.99,200 г,200.0,5.0,15.0,59.0,440.0,7.0
Печенье Шоколадово Chocoline с арахисом глазированное 200г,4259120,шт,1.0,4.92,8961,119.99,200 г,200.0,8.9,26.9,53.2,489.0,7.0
Печенье Юбилейное Традиционное 403г,4193898,шт,1.0,4.93,5964,119.99,403 г,403.0,7.5,18.0,67.0,463.0,6.0
Печенье Milka с кусочками молочного шоколада 126г,4346896,шт,1.0,4.9,4333,,126 г,126.0,6.9,24.0,63.0,496.0,6.67
Печенье Дымка Сдобные колечки с сахаром,4310575,кг,0.2,4.92,10177,,Цена за 1 кг,200.0,8.2,15.5,68.0,444.0,5.0
Печенье Шарлиз Воздушные колечки заварное 100г,4330026,шт,1.0,4.92,4996,84.99,100 г,100.0,9.5,28.0,58.0,520.0,5.67
Печенье Дымка Вафелька сдобное с клубничной начинкой,4310576,кг,0.2,4.9,7325,,Цена за 1 кг,200.0,5.5,12.8,64.7,396.0,5.67
Печенье Красная цена Чайное сахарное 300г,3651811,шт,1.0,4.88,5763,54.99,300 г,300.0,7.5,15.0,72.0,450.0,6.0
Рулет Контек Фигурный с маковой начинкой 400г,4242817,шт,1.0,4.84,3857,175.99,400 г,400.0,7.0,18.0,52.0,395.0,6.0
Сдоба Фигурный Рулет Мини М Премиум с абрикосовым джемом 400г,4249109,шт,1.0,4.73,2023,159.99,400 г,400.0,6.0,15.0,57.0,390.0,3.0
Печенье Вкус и польза Овсяное 200г,4327728,шт,1.0,4.88,1541,153.99,200 г,200.0,5.6,13.7,68.6,386.0,6.33
Пирожные Контек Заварные колечки 250г,4233180,шт,1.0,4.74,2713,,250 г,250.0,9.2,23.2,28.5,360.0,3.33
Коржик Зерница молочный 100г,4238147,шт,1.0,4.88,3638,49.99,100 г,100.0,7.5,12.0,67.0,410.0,7.67
Сдоба Контек Фигурная с изюмом 320г,4201715,шт,1.0,4.8,3277,,320 г,320.0,5.5,16.7,50.5,382.0,5.0
Печенье Мастер-конд Княжий Дар 200г,4214942,шт,1.0,4.89,1318,229.99,200 г,200.0,5.0,32.0,51.0,510.0,4.33
Десерт Полет с изюмом слоеный 220г,3201611,шт,1.0,4.87,3907,,220 г,220.0,5.5,26.0,55.0,475.0,5.33
Вафли Torero со вкусом тирамису 125г,4344349,шт,1.0,4.88,2532,119.99,125 г,125.0,3.0,36.0,55.0,560.0,5.67
Вафли Laritele с начинкой с какао в глазури с арахисом 145г,4330123,шт,1.0,4.83,2513,129.99,145 г,145.0,8.8,37.4,43.0,548.0,6.67
Печенье Дымка Юбилейная Трапеза сахарное,4310588,кг,0.3,4.89,2712,289.99,Цена за 1 кг,300.0,7.1,18.5,64.1,451.0,6.0
Печенье Дымка Домашние Вафельки сдобные с малиновой начинкой,4323778,кг,0.3,4.89,4289,,Цена за 1 кг,300.0,5.1,10.0,65.1,371.0,5.67
Печенье Ulker сэндвич с маршмеллоу и кокосом в глазури 66г,4316119,шт,1.0,4.89,2961,,66 г,66.0,5.4,19.0,71.0,483.0,5.33
Печенье Дымка Юбилейная Песенка сахарное шоколадное,4370100,кг,0.4,4.86,5032,399.99,Цена за 1 кг,400.0,7.8,17.8,61.7,438.0,5.33
Батончик Спартак Milx вафельный 35г,4351980,шт,1.0,4.91,4171,42.99,35 г,35.0,5.0,33.0,59.0,550.0,3.33
Печенье Сладкая слобода Сдобное топленое молоко,4327890,кг,0.3,4.87,3750,369.99,Цена за 1 кг,300.0,6.7,15.1,67.2,432.0,5.0
Печенье Сладкая слобода Деревенское Нежное сахарное,4367771,кг,0.35,4.87,1255,399.99,Цена за 1 кг,350.0,7.7,19.5,65.3,468.0,7.0
Пирожное бисквитное Медвежонок Барни с бананово-йогуртовой начинкой 150г,3358963,шт,1.0,4.94,13064,103.99,150 г,150.0,6.0,15.0,54.0,376.0,5.0
Пирожное Mirel Муравейник 340г,4290678,шт,1.0,4.91,5727,295.99,340 г,340.0,6.0,16.3,58.9,406.0,4.67
Торт Mirel карамельный на сгущенке 700г,4155324,шт,1.0,4.91,6379,519.99,700 г,700.0,4.0,14.0,44.0,320.0,4.67
Эклеры Фили-Бейкер заварные 250г,3276844,шт,1.0,4.91,5798,273.99,250 г,250.0,4.9,15.7,31.4,284.0,6.33
Торт бисквитный Baker House Трюфель 350г,3466436,шт,1.0,4.91,4918,,350 г,350.0,3.5,9.0,61.0,340.0,3.33
Пирожные Фили-Бейкер Кольца заварные 300г,3276842,шт,1.0,4.88,4671,279.99,300 г,300.0,6.2,13.6,34.3,290.0,6.67
Пирожные Baker House мини-тарты карамельно-арахисовые 240г,3639225,шт,1.0,4.89,4140,252.99,240 г,240.0,5.5,24.0,63.0,480.0,3.0
Бисквитное пирожное Kinder Delice 39г,3647915,шт,1.0,4.94,5561,89.99,39 г,39.0,5.5,22.6,58.8,455.0,6.0
Пирожное Ама Эклер Со Сливочным Кремом 168г,4279043,шт,1.0,4.84,4960,153.99,168 г,168.0,3.5,25.0,39.0,390.0,3.33
Торт Фили-Бейкер Панчо бисквитно-фруктовый 1 кг,75638,шт,1.0,4.88,3607,,1 кг,1000.0,4.2,14.4,26.3,252.0,6.67
Торт Mirel Черничное молоко 750г,4132503,шт,1.0,4.9,4075,,750 г,750.0,3.9,14.0,28.8,257.0,4.67
Пирожное Mirel Эклер с белковым кремом 5х32г,4360509,шт,1.0,4.9,4095,214.99,160 г,160.0,5.3,19.5,36.1,341.0,5.33
Торт Фили-Бейкер Пломбир-классик бисквитный 720г,3602480,шт,1.0,4.91,4133,589.99,720 г,720.0,4.9,10.9,49.6,313.0,5.33
Пирожные Фили-Бейкер Корзиночки песочные 300г,4155135,шт,1.0,4.89,3576,384.99,300 г,300.0,2.46,16.4,51.0,360.0,6.67
Торт Mirel Шоколадный тоффи 580г,4353817,шт,1.0,4.87,4000,629.99,580 г,580.0,4.5,19.0,41.0,360.0,2.0
Торт Ама Сказочка 450г,4279047,шт,1.0,4.82,4011,359.99,450 г,450.0,5.0,20.0,43.0,374.0,3.0
Пирожное Mirel профитроли с пломбирным кремом 180г,3481382,шт,1.0,4.87,3959,209.99,180 г,180.0,6.0,19.0,32.0,320.0,5.33
Пирожные Фили-Бейкер Картошка бисквитные 240г,4285392,шт,1.0,4.78,2103,164.99,240 г,240.0,5.8,9.0,54.6,329.0,6.67
Торт Mirel Малиновый Сметанник 650г,4325059,шт,1.0,4.91,3209,679.99,650 г,650.0,3.5,22.0,25.0,310.0,4.0
Торт Черемушки Чародейка бисквитный 650г,37212,шт,1.0,4.88,2740,,650 г,650.0,4.0,18.0,55.0,400.0,3.0
Пирог Тирольские Пироги Ягодный микс 630г,3944531,шт,1.0,4.89,1684,699.99,630 г,630.0,3.4,7.0,27.4,186.0,5.0
Торт Mirel Тирамису 750г,4174636,шт,1.0,4.88,3502,599.99,750 г,750.0,3.5,11.0,31.0,240.0,6.33
Торт Mirel Прага 660г,4188555,шт,1.0,4.88,2862,639.99,660 г,660.0,4.8,24.4,44.3,416.0,4.67
Десерт Фили-Бейкер Панчо бисквитный 150г,4317781,шт,1.0,4.84,2853,239.99,150 г,150.0,3.6,11.8,29.8,241.0,6.33
Торт Mirel Сливочная карамель 650г,4359387,шт,1.0,4.89,2855,,650 г,650.0,3.7,11.5,41.3,284.0,4.0
Торт Rock'n'Cream Медово-Сметанный 400г,4353423,шт,1.0,4.72,845,449.99,400 г,400.0,4.1,19.7,33.7,329.0,6.33
Торт Суфле 300г,4309849,шт,1.0,4.85,1938,262.99,300 г,300.0,2.0,16.0,46.0,336.0,3.67
Пирожное Фили-Бейкер Трубочки слоеные с кремом 100г,3604698,шт,1.0,4.86,476,,100 г,100.0,4.8,20.8,40.3,366.0,5.0
Торт Фили-Бейкер Эскимо Московский бисквитный 450г,4316302,шт,1.0,4.87,1615,589.99,450 г,450.0,5.44,19.1,40.2,361.0,6.33
Торт Черемушки Прага бисквитный 720г,3949026,шт,1.0,4.8,1002,,720 г,720.0,5.0,25.0,45.0,420.0,3.67
Пирожное Cuisine Royale Медовое 120г,4187832,шт,1.0,4.89,1850,142.99,120 г,120.0,6.0,16.0,52.0,376.0,4.33
Пирожное АМА Красный Бархат 200г,4272383,шт,1.0,4.77,1419,252.99,200 г,200.0,4.3,29.5,31.3,410.0,3.0
Торт Фили-Бейкер Наполеон слоеный 660г,4285394,шт,1.0,4.85,2199,,660 г,660.0,3.8,37.2,33.5,384.0,4.0
Пирожное Медвежонок Барни Шоколад бисквитное 30г,3214122,шт,1.0,4.93,5217,32.99,30 г,30.0,5.0,15.0,55.0,379.0,6.0
Торт Фили-Бейкер Панчитто бисквитный 450г,4363603,шт,1.0,4.88,172,599.99,450 г,450.0,4.8,10.4,40.2,274.0,7.0
Пирожное Фили-Бейкер Наполеон домашний 300г,3460123,шт,1.0,4.76,498,,300 г,300.0,3.7,14.6,25.6,387.0,3.0
Пирожные Royal Baker Корзиночки Вишня в шоколаде песочные 250г,4349930,шт,1.0,4.73,1583,239.99,250 г,250.0,4.0,13.0,69.0,407.0,4.67
Торт Mirel Три Шоколада 750г,4293822,шт,1.0,4.8,105,899.99,750 г,750.0,4.5,21.0,40.0,370.0,3.0
Десерт Konti Bonjour вкус рождественский кекс 232г,4313638,шт,1.0,4.77,13,,232 г,232.0,3.0,18.0,65.0,440.0,6.33
Мороженое Лакомство Колибри вафельный рожок 12% СЗМЖ 100г,3307803,шт,1.0,4.92,7558,50.99,100 г,100.0,4.0,14.0,35.0,290.0,7.0
Пломбир Коровка из Кореновки шоколадный стаканчик 15% БЗМЖ 100г,3409340,шт,1.0,4.93,10444,106.99,100 г,100.0,2.5,14.0,21.0,222.0,7.0
Пломбир Филевская Лакомка в шоколадной глазури 15% БЗМЖ 90г,66259,шт,1.0,4.93,6970,88.99,90 г,90.0,3.0,25.6,20.0,320.0,7.67
Пломбир Золотой Стандарт С Таежной Черникой с черничным наполнителем в вафельном стаканчике 12% БЗМЖ 93г,4288713,шт,1.0,4.92,6941,89.99,93 г,93.0,3.6,12.6,32.7,262.0,6.67
Пломбир Коровка из Кореновки крем-брюле стаканчик 15% БЗМЖ 100г,3409339,шт,1.0,4.92,9656,106.99,100 г,100.0,3.0,14.0,19.0,216.0,6.67
Пломбир Золотой Стандарт сэндвич 12% БЗМЖ 69г,3671206,шт,1.0,4.94,8455,99.99,69 г,69.0,5.3,12.5,44.2,311.0,6.67
Пломбир Сарафаново Шоколадный 12% БЗМЖ 70г,4329240,шт,1.0,4.91,7907,76.99,70 г,70.0,4.5,12.0,26.0,230.0,7.0
Пломбир Станция Молочная в вафельном стаканчике 12% БЗМЖ 90г,4214927,шт,1.0,4.9,7203,59.99,90 г,90.0,3.5,12.0,23.0,210.0,7.0
Эскимо Магнат Шоколадный трюфель сливочное с наполнителем-бисквитами в шоколаде 8% БЗМЖ 72г,3926883,шт,1.0,4.94,7296,179.99,72 г,72.0,4.1,18.7,33.4,323.0,4.67
Пломбир Сарафаново Ванильный 12% БЗМЖ 70г,4329337,шт,1.0,4.9,7483,76.99,70 г,70.0,4.5,12.0,26.0,230.0,8.0
Мороженое Maxiduo Соленая Карамель 6% БЗМЖ 94г,4343388,шт,1.0,4.83,1507,98.99,94 г,94.0,3.3,13.8,42.0,305.0,6.33
Мороженое Вологодский Пломбир ванильное 15% БЗМЖ 250г,3603592,шт,1.0,4.92,4721,,250 г,250.0,3.0,15.0,19.7,225.0,6.0
Десерт в вафельном стаканчике с добавлением молока и ароматом ванили замороженный 4% БЗМЖ 60г,4310452,шт,1.0,4.85,5567,13.99,60 г,60.0,3.5,4.0,26.0,150.0,6.67
Эскимо Чистая Линия Малиновый кактус пломбир ванильное с кусочками малины в глазури 12% БЗМЖ 80г,4085329,шт,1.0,4.9,5107,219.99,80 г,80.0,19.6,3.1,28.8,304.0,6.67
Эскимо Фрумелье Лесная ягода сливочное с ароматом ванили в шоколадной глазури 8% БЗМЖ 65г,4376290,шт,1.0,4.86,2324,49.99,65 г,65.0,2.7,16.5,30.3,281.0,6.67
Пломбир Коровка из Кореновки с шоколадной стружкой 15% БЗМЖ 400г,3409352,шт,1.0,4.92,5138,424.99,400 г,400.0,3.5,17.0,20.0,243.0,6.67
Пломбир Золотой стандарт с суфле и шоколадным наполнителем 12% БЗМЖ 475г,3496575,шт,1.0,4.9,2808,495.99,475 г,475.0,3.7,11.4,28.4,230.0,6.0
Мороженое пломбир Сарафаново ванильный на сливках рожок 15% БЗМЖ 110г,4053680,шт,1.0,4.9,5428,142.99,110 г,110.0,4.5,16.0,35.0,300.0,8.0
Мороженое Сарафаново сливочное с ароматом ванили с наполнителем малина-гранат 8% БЗМЖ 180г,4375770,шт,1.0,4.87,1633,199.99,180 г,180.0,2.5,7.5,24.0,170.0,6.0
Эскимо Чистая Линия Российское пломбир 12% БЗМЖ 80г,2128085,шт,1.0,4.92,5550,193.99,80 г,80.0,3.0,22.0,23.0,300.0,8.0
Пломбир Филевское Пралине с грецким орехом и мягкой карамелью 12% БЗМЖ 550г,3956289,шт,1.0,4.92,3785,698.99,550 г,550.0,3.5,15.0,26.0,250.0,6.33
Щербет черносмородиновый 70г,4352747,шт,1.0,4.84,2442,59.99,70 г,70.0,0.0,0.0,28.0,112.0,4.0
"Мороженое Bombbar Ореховый Бум протеиновое с фундучной пастой, арахисом и шоколадной крошкой 6% БЗМЖ 150г",4369312,шт,1.0,4.84,974,,150 г,150.0,15.0,6.0,14.0,179.0,7.67
Пломбир Cuisine Royale ванильный с прослойками шоколадной глазури 12% БЗМЖ 450г,4215524,шт,1.0,4.82,4079,,450 г,450.0,3.5,17.0,21.0,250.0,6.0
Мороженое Вологодский Пломбир с кусочками брусники и клюквы в вафельном стаканчике 12% БЗМЖ 100г,4051288,шт,1.0,4.86,2405,,100 г,100.0,2.5,10.5,30.0,220.0,7.0
Мороженое Коровка из Кореновки пломбир с малиной в вафельном стаканчике 15% БЗМЖ 100г,4286842,шт,1.0,4.89,4977,,100 г,100.0,3.0,10.0,31.0,226.0,8.0
Эскимо Свитлогорье пломбир ванильное в глазури 15% БЗМЖ 80г,3628052,шт,1.0,4.9,3202,129.99,80 г,80.0,3.1,23.9,20.1,310.0,6.33
Эскимо Сарафаново пломбир ванильный в глазури 12% БЗМЖ 75г,4124694,шт,1.0,4.9,5524,126.99,75 мл,75.0,3.5,23.0,23.0,310.0,7.67
Мороженое Верховье эскимо сливочное с ароматом ванили с лимонным наполнителем в лимонной глазури 8% 70г,4281704,шт,1.0,4.91,3995,,70 г,70.0,2.5,15.0,27.0,250.0,6.33
Пломбир Чистая Линия Радуга рожок 12% БЗМЖ 110г,3955964,шт,1.0,4.88,5002,196.99,110 г,110.0,4.1,10.4,34.1,246.0,7.0
Мороженое Коровка Из Кореновки двухслойное пломбир шоколадный с вишней 15% БЗМЖ 200г,4281766,шт,1.0,4.88,1775,,200 г,200.0,4.0,14.0,23.0,233.0,7.0
Пломбир Коровка из Кореновки ванильный 15% БЗМЖ 80г,4370936,шт,1.0,4.89,2084,69.99,80 г,80.0,3.4,15.3,21.8,240.0,7.0
Сорбет Верховье манговый с ароматом ванили 70г,4289011,шт,1.0,4.91,4291,,70 г,70.0,1.0,11.0,29.0,210.0,5.33
Пломбир Чистая Линия Московская лакомка 12% БЗМЖ 80г,3334700,шт,1.0,4.91,4565,186.99,80 г,80.0,3.5,23.5,20.9,309.0,6.67
Мороженое Чистая Линия пломбир без сахарозы с ароматом ванили в вафельном стаканчике 12% БЗМЖ 80г,4347653,шт,1.0,4.9,4006,164.99,80 г,80.0,3.8,11.5,23.1,211.0,7.33
Пломбир Свитлогорье с ароматом ванили и шоколадный в вафельном стаканчике 15% БЗМЖ 105г,4200606,шт,1.0,4.91,4679,,105 г,105.0,3.9,14.4,25.2,246.0,8.0
Мороженое Чистая линия пломбир с фисташковой пастой в вафельном рожке 12% БЗМЖ 110г,4315657,шт,1.0,4.86,3567,209.99,110 г,110.0,4.9,10.7,34.5,250.0,6.33
Эскимо Магнат фисташка-малина 8% БЗМЖ 70г,4208863,шт,1.0,4.88,2342,,70 мл,70.0,4.0,19.0,34.3,323.0,5.0
Мороженое Айсберри Филевский пломбир Соленая карамель с вареным сгущенным молоком 15% БЗМЖ 250г,4371711,шт,1.0,4.82,516,229.99,250 г,250.0,3.0,15.0,20.0,230.0,7.0
"Мороженое Maxiduo Страчателла с какаосодержащим соусом, кусочками шоколадного печенья и темного шоколада 6.5% БЗМЖ 282г",4359127,шт,1.0,4.83,259,399.99,282 г,282.0,3.6,9.3,32.9,230.0,6.33
Мороженое Коровка из Кореновки пломбир с вареной сгущенкой в вафельном рожке 15% БЗМЖ 120г,4345522,шт,1.0,4.88,3258,,120 г,120.0,4.5,17.0,42.0,340.0,8.0
Щербет Творожко-Морожко вареная сгущенка 12% БЗМЖ 70г,4352744,шт,1.0,4.75,1190,,80 г,80.0,5.5,21.9,28.3,331.9,4.0
"Мороженое Свитлогорье эскимо пломбир с ароматом ванили, с наполнителем черника с кусочками ягод в молочной глазури со вкусом йогурта 12% БЗМЖ 80г",4376288,шт,1.0,4.91,236,119.99,80 г,80.0,3.2,23.2,26.3,327.0,5.0
Мороженое Love is эскимо пломбир с банановым вкусом в клубничной глазури 12% БЗМЖ 65г,4348251,шт,1.0,4.86,818,,65 г,65.0,3.5,23.0,24.0,320.0,6.67
Пломбир Чистая Линия Ленинградское ванильный в шоколадной глазури 12% БЗМЖ 80г,3953742,шт,1.0,4.87,1470,,80 г,80.0,3.0,22.0,23.0,302.0,5.33
Пломбир Чистая линия Семейное ванильное 12% БЗМЖ 450г,3334702,шт,1.0,4.89,1079,,450 г,450.0,3.1,12.0,20.0,200.0,6.67
Мороженое Коровка из Кореновки Кубанская лакомка в черносмородиновой глазури 15% БЗМЖ 90г,4342118,шт,1.0,4.87,1606,,90 г,90.0,2.5,10.0,29.0,220.0,7.0
Мороженое Binggrae Samanko Рыбка с шоколадным сиропом в вафле СЗМЖ 91г,4318802,шт,1.0,4.73,538,,150 мл,150.0,3.0,8.0,31.0,210.0,5.33
Мороженое Коровка из Кореновки Пломбир двухслойный ванильный с манго и маракуйей 15.0% БЗМЖ 200г,4382508,шт,1.0,4.94,33,229.99,200 г,200.0,2.5,10.0,15.0,160.0,6.33
Пломбир Лева из Могилева шоколадный с горьким шоколадом на бисквитах с какао 12% БЗМЖ 80г,4371265,шт,1.0,4.78,205,119.99,80 г,80.0,4.7,12.3,35.8,272.7,5.67
Десерт Brand Ice фруктовый манго 380г,4280318,шт,1.0,4.65,369,,380 г,380.0,0.0,0.0,31.0,120.0,5.0
Мороженое Свитлогорье Мелодичная Вишня 15% БЗМЖ 300г,4346109,шт,1.0,4.81,43,359.99,300 г,300.0,2.9,12.5,27.2,233.0,7.0
Пломбир Чистая линия Протеиновое без сахарозы с ароматом ванили в вафельном стаканчике 12% БЗМЖ 80г,4366601,шт,1.0,4.76,70,,80 г,80.0,6.9,11.5,22.4,226.0,6.67
