Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Score
Крылышки куриные гриль Пятерочка Кафе,4295037,кг,0.4,4.87,5482,77.99,Цена за 100 г,400.0,13.0,34.0,2.5,370.0,7.0
Паста Карбонара Пятерочка Кафе 250г,4364665,шт,1.0,4.81,1023,159.99,250 г,250.0,7.0,10.3,18.3,194.0,8.33
Манты с мясом Пятерочка Кафе 240г,4362983,шт,1.0,4.75,4012,174.99,240 г,240.0,6.2,18.1,26.2,292.5,7.0
Капуста тушеная с сосисками Пятерочка Кафе 250г,4372194,шт,1.0,4.76,1954,159.99,250 г,250.0,2.9,5.9,8.8,99.9,6.67
Паста Болоньезе Пятерочка Кафе 250г,4364664,шт,1.0,4.88,784,159.99,250 г,250.0,4.7,5.0,20.5,146.0,8.0
Кутабы с сыром и зеленью Пятерочка Кафе 150г,4353542,шт,1.0,4.74,2641,179.99,150 г,150.0,7.2,8.6,32.7,237.0,8.0
Борщ украинский с курицей Пятерочка Кафе 250г,4292797,шт,1.0,4.88,9690,119.99,250 г,250.0,2.5,2.0,4.8,50.0,6.67
Суп куриный с домашней лапшой Пятерочка Кафе 250г,4292794,шт,1.0,4.84,6162,109.99,250 г,250.0,4.0,5.5,6.5,90.0,6.0
Суп Солянка сборная мясная по-домашнему Пятерочка Кафе 250г,4292792,шт,1.0,4.79,4976,146.99,250 г,250.0,4.0,3.9,4.6,70.0,7.67
Суп-пюре грибной Пятерочка Кафе 250г,4292789,шт,1.0,4.84,4760,159.99,250 г,250.0,2.7,5.7,10.0,100.0,6.33
Суп гороховый с копченостями Пятерочка Кафе 250г,4292795,шт,1.0,4.82,4532,124.99,250 г,250.0,3.5,5.0,8.0,90.0,5.67
Суп Харчо Пятерочка Кафе 250г,4292791,шт,1.0,4.82,4636,136.99,250 г,250.0,3.2,1.1,9.9,60.0,6.33
Салат Оливье Пятерочка Кафе 200г,4316740,шт,1.0,4.84,6228,119.99,200 г,200.0,5.4,10.9,6.5,146.0,3.67
Салат сельдь под шубой Пятерочка Кафе 250г,4322017,шт,1.0,4.82,6174,159.99,250 г,250.0,6.2,14.5,8.0,188.0,5.0
Салат с кальмаром Пятерочка Кафе 200г,4287278,шт,1.0,4.85,4360,174.99,200 г,200.0,4.8,16.6,9.3,206.0,6.67
Салат Крабовый Пятерочка Кафе 200г,4322016,шт,1.0,4.84,4547,129.99,200 г,200.0,4.3,19.3,14.2,245.0,6.33
Салат Фаворит с бужениной и шампиньонами Пятерочка Кафе 200г,4345530,шт,1.0,4.76,4448,169.99,200 г,200.0,7.7,18.6,3.9,210.0,6.67
Салат Гнездо глухаря Пятерочка Кафе 200г,4299031,шт,1.0,4.74,4472,184.99,200 г,200.0,14.7,17.6,6.9,230.0,7.0
Салат Цезарь с курицей Пятерочка Кафе 180г,4353672,шт,1.0,4.66,3358,189.99,180 г,180.0,9.4,17.2,6.8,220.0,6.67
Салат оливье Пятерочка Кафе 500г,4316741,шт,1.0,4.82,4964,249.99,500 г,500.0,5.4,10.9,6.5,146.0,4.67
Салат Винегрет Пятерочка Кафе 180г,4343382,шт,1.0,4.58,4531,94.99,180 г,180.0,2.1,4.5,9.6,87.2,7.0
Салат столичный Рестория Шеф 200г,4191361,шт,1.0,4.69,4090,149.99,200 г,200.0,9.2,21.8,6.1,260.0,5.0
Салат Деревенский с курицей и фасолью Пятерочка Кафе 200г,4315310,шт,1.0,4.8,3401,149.99,200 г,200.0,6.9,14.0,10.6,196.0,7.0
Салат печеночный с картофелем и грибами Пятерочка Кафе 200г,4299028,шт,1.0,4.79,4089,159.99,200 г,200.0,5.3,20.2,19.0,279.0,5.33
Салат Коул Слоу капустный с апельсиновым соком Пятерочка Кафе 200г,4211040,шт,1.0,4.88,4385,109.99,200 г,200.0,1.5,17.8,10.1,207.0,4.33
Салат Мимоза Пятерочка Кафе 200г,4335076,шт,1.0,4.79,2772,154.99,200 г,200.0,7.3,16.0,6.2,198.0,4.0
Салат сельдь под шубой Пятерочка Кафе 500г,4317626,шт,1.0,4.83,4246,284.99,500 г,500.0,6.2,14.5,8.0,188.0,5.0
Салат Весенний Пятерочка Кафе 160г,4349646,шт,1.0,4.88,4527,114.99,160 г,160.0,1.2,5.4,6.1,77.8,7.0
Салат Фермерский с салями Пятерочка Кафе 200г,4287271,шт,1.0,4.77,3876,124.99,200 г,200.0,3.9,18.6,9.0,219.0,4.67
Салат Грин Микс с курицей и шампиньонами Пятерочка Кафе 150г,4353670,шт,1.0,4.68,1571,179.99,150 г,150.0,8.4,7.1,2.7,108.0,8.0
Салат Кобб Пятерочка Кафе 170г,4357183,шт,1.0,4.63,974,169.99,170 г,170.0,4.3,15.7,9.2,195.0,7.0
Салат Морковь по-корейски Рестория Шеф 400г,4125694,шт,1.0,4.92,21054,89.99,400 г,400.0,4.2,4.0,10.6,95.0,6.0
Салат морская капуста с крабовым мясом Fish House 400г,3950270,шт,1.0,4.9,9089,119.99,400 г,400.0,2.0,26.0,3.0,254.0,6.67
Салат из морской капусты с кальмаром в майонезе Fish House 250г,4108226,шт,1.0,4.89,7591,99.99,250 г,250.0,3.5,18.0,2.5,190.0,7.0
Салат дальневосточный из морской капусты Fish House 250г,3398711,шт,1.0,4.88,6270,59.99,250 г,250.0,0.5,5.0,1.5,55.0,6.67
Салат Витаминный из морской капусты Fish House 430г,3950268,шт,1.0,4.88,5631,99.99,430 г,430.0,0.5,4.5,4.0,52.0,5.33
Салат Чука Fish House 180г,4104710,шт,1.0,4.86,4698,139.99,180 г,180.0,1.1,10.0,7.1,120.0,5.33
Салат морковь со спаржей по-корейски Рестория Шеф 400г,4147973,шт,1.0,4.86,4980,119.99,400 г,400.0,5.0,6.5,7.5,110.0,8.0
Салат Чука в ореховом соусе Fish House 200г,4104709,шт,1.0,4.84,3494,159.99,200 г,200.0,1.8,9.5,8.5,130.0,5.0
Салат Фунчоза По-Корейски Пятерочка Кафе 200г,4343383,шт,1.0,4.87,3625,99.99,200 г,200.0,0.5,3.2,25.4,132.0,4.67
Салат Капуста по-корейски Рестория Шеф 200г,4261467,шт,1.0,4.83,2650,109.99,200 г,200.0,1.6,6.0,4.4,77.0,3.0
Салат Баклажаны по-корейски Рестория Шеф 200г,4261466,шт,1.0,4.78,2398,119.99,200 г,200.0,0.7,6.0,3.2,69.6,6.33
Хумус Классический Рестория Шеф 200г,4116551,шт,1.0,4.77,2654,124.99,200 г,200.0,6.0,19.0,11.0,236.0,6.67
Хумус с кедровыми орешками Рестория Шеф 200г,4116552,шт,1.0,4.74,3260,142.99,200 г,200.0,6.0,19.0,11.0,236.0,6.67
Сэндвич-ролл Цезарь Пятерочка Кафе 200г,4364574,шт,1.0,4.78,893,149.99,200 г,200.0,7.8,16.4,23.9,274.0,8.0
Паштет из шампиньонов Грибная Кухня 230г,3648674,шт,1.0,4.82,3031,159.99,230 г,230.0,7.0,19.0,0.8,200.0,4.67
Хумус с острым соусом Рестория Шеф 200г,4116553,шт,1.0,4.75,1096,134.99,200 г,200.0,6.0,18.0,11.0,225.0,7.0
Морс облепиховый Пятерочка Кафе 0.5л,4168789,шт,1.0,4.9,2885,99.99,500 мл,500.0,0.0,0.0,13.0,52.0,6.33
Морс клюквенный Пятерочка Кафе 0.5л,4168788,шт,1.0,4.88,3599,99.99,500 мл,500.0,0.0,0.0,12.0,48.0,7.0
Лимонад Лимон-имбирь Пятерочка Кафе 500мл,4250372,шт,1.0,4.87,3013,94.99,500 мл,500.0,0.0,0.0,11.0,45.0,6.0
Смузи банан-манго Пятерочка Кафе 0.3л,4326274,шт,1.0,4.84,772,119.99,300 мл,300.0,0.0,0.0,10.0,40.0,6.67
Чебупицца Пепперони Горячая Штучка 250г,3416332,шт,1.0,4.91,22809,,250 г,250.0,9.0,12.0,32.0,270.0,6.0
Блины с творогом С Пылу с Жару 360г,3273892,шт,1.0,4.91,7475,,360 г,360.0,5.0,3.0,22.0,140.0,6.67
Блины с мясом С Пылу с Жару 360г,3273891,шт,1.0,4.89,9142,,360 г,360.0,6.5,3.5,19.0,130.0,6.33
Чебупицца Курочка по-итальянски Горячая Штучка 250г,3421780,шт,1.0,4.91,17503,212.99,250 г,250.0,8.0,13.0,29.0,270.0,5.67
Хотстеры Горячая Штучка 250г,3435321,шт,1.0,4.92,14601,,250 г,250.0,8.0,12.0,17.0,210.0,4.33
Чебупели Сочные с мясом Горячая Штучка 250г,3373886,шт,1.0,4.92,15544,,250 г,250.0,7.0,11.0,28.0,240.0,4.67
Чебупели с ветчиной и сыром Горячая штучка 250г,3395673,шт,1.0,4.89,13573,208.99,250 г,250.0,7.0,15.0,40.0,320.0,6.33
Блины с мясом Останкино 420г,2141551,шт,1.0,4.9,7833,,420 г,420.0,8.0,11.0,33.0,270.0,6.0
Блины с вишней С Пылу с Жару 360г,3269961,шт,1.0,4.87,5043,,360 г,360.0,3.0,3.0,25.0,140.0,8.0
Блины с ветчиной и сыром С Пылу с Жару 360г,3426375,шт,1.0,4.85,5583,203.99,360 г,360.0,5.0,7.0,17.0,150.0,5.0
Блины с куриным мясом Останкино 420г,2170437,шт,1.0,4.89,6008,169.99,420 г,420.0,8.0,11.0,33.0,270.0,6.0
Блинчики для фаршировки С пылу с жару 310г,3604375,шт,1.0,4.9,4559,,310 г,310.0,4.0,4.0,22.0,140.0,6.67
Чебурек Твистер's band Чебурито с мясом замороженный 85г,4009387,шт,1.0,4.89,17776,,85 г,85.0,9.0,14.0,31.5,288.0,6.0
Круггетсы с сырным соусом Горячая Штучка 250г,3477910,шт,1.0,4.87,6966,208.99,250 г,250.0,8.5,16.0,20.0,260.0,4.0
