plu,name,uom,step,rating,prices,property_clarification,nutrients,ingredients,desirability
4353020,Онигири Филадельфия с семгой и творожным сыром Пятерочка Кафе 110г,шт,1.0,"{'rating_average': 4.73, 'rates_count': 5186}","[{'value': '139.99', 'placement_type': 'regular_primary'}]",110 г,"[{'value': '3.6', 'text': 'белки'}, {'value': '6.4', 'text': 'жиры'}, {'value': '30.2', 'text': 'углеводы'}, {'value': '192.8', 'text': 'ккал'}]","рис отварной заправленный [вода, рис, соус для риса (уксус рисовый (уксус рисовый, уксус спиртовой, вода, сахар, соль), сахар, соль), масло рисовое], сёмга с/с [сёмга, соль, сахар], майонез [масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант сорбиновая кислота, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины)], сыр творожный [творог (нормализованное пастеризованное молоко, бактериальная закваска, молокосвертывающий фермент микробного происхождения), загуститель Е1422, соль, стабилизаторы: камедь рожкового дерева, гуаровая камедь, регулятор кислотности лимонная кислота, вода], огурцы свежие, соль, водоросли морские сушёные.

 На предприятии изготавливаются продукты, содержащие аллергены: молоко, сельдерей, глютен, горчица, орехи, соя, арахис, кунжут, ракообразные, моллюски, сульфиты",3
78034281,Кофе Латте 330мл,шт,1.0,"{'rating_average': 4.73, 'rates_count': 2248}","[{'value': '99.99', 'placement_type': 'regular_primary'}]",330 мл,"[{'value': '6.84', 'text': 'белки'}, {'value': '6.85', 'text': 'жиры'}, {'value': '9.65', 'text': 'углеводы'}, {'value': '127.61', 'text': 'ккал'}]","молоко с м.д.ж. 3,2%, вода питьевая, кофе натуральный жареный в зернах",1
4117904,Багет Ржаной чесночный замороженный п/ф 200г,шт,1.0,"{'rating_average': 4.68, 'rates_count': 140}","[{'value': '64.99', 'placement_type': 'regular_primary'}]",200 г,"[{'value': '6.5', 'text': 'белки'}, {'value': '14.0', 'text': 'жиры'}, {'value': '45.1', 'text': 'углеводы'}, {'value': '332.0', 'text': 'ккал'}]","Мука пшеничная хлебопекарная высшего сорта, вода питьевая, мука ржаная обдирная, масло сливочное, соль пищевая молотая, дрожжи прессованные хлебопекарные, чеснок сушеный, экстракт солодовый, петрушка сушеная. 

Содержит злаковые компоненты содержащие клейковину (глютен), продукты переработки молока. Может содержать следы кунжута, семян тыквы, семян подсолнечника, семян льна.",2
3439566,Лепешки Mission пшеничные оригинальные 250г,шт,1.0,"{'rating_average': 4.93, 'rates_count': 12475}","[{'value': '146.99', 'placement_type': 'regular_primary'}]",250 г,"[{'value': '7.0', 'text': 'белки'}, {'value': '7.0', 'text': 'жиры'}, {'value': '46.0', 'text': 'углеводы'}, {'value': '280.0', 'text': 'ккал'}]","мука пшеничная высший сорт, вода, жир специального назначения (рафинированные дезодорированные фракционированные масла: пальмовое, кокосовое, пальмоядровое, эмульгатор моно- и диглицериды жирных кислот, комплексная пищевая добавка антиокислитель (Е319, лимонная кислота)), масло подсолнечное рафинированное дезодорированное в/с, агент влагоудерживающий глицерин, разрыхлители (гидрокарбонат натрия, дигидропирофосфат натрия), регуляторы кислотности (лимонная кислота, яблочная кислота), соль, консерванты (сорбат калия, пропионат кальция, Е223), глютен, стабилизатор Е466, ароматизатор, агенты антислеживающие (фосфат кальция, Е536)",6
4261976,Лазанья Болоньезе с сыром в соусе Бешамель Мираторг 350г,шт,1.0,"{'rating_average': 4.74, 'rates_count': 5003}","[{'value': '199.99', 'placement_type': 'regular_primary'}]",350 г,"[{'value': '7.5', 'text': 'белки'}, {'value': '6.4', 'text': 'жиры'}, {'value': '17.1', 'text': 'углеводы'}, {'value': '156.5', 'text': 'ккал'}]","соус «Болоньезе» (говядина, мясо курицы механической обвалки, томаты, вода питьевая, морковь, лук репчатый, стебель сельдерея, масло растительное подсолнечное рафинированное дезодорированное, паста томатная, загуститель (крахмал кукурузный), мука хлебопекарная пшеничная высший сорт,
сахар, соль, орегано, базилик, чеснок сушеный, паприка сладкая молотая, перец черный горошек, петрушка сушеная, лавровый лист, консерванты E202,E211, ароматизатор «Томат», ароматизатор натуральный пищевой Говядина», ароматизатор «Вино», усилитель вкуса и аромата E621, антиокислитель E331, краситель
бета-каротин), тесто для лазаньи (мука из твердых сортов пшеницы высший сорт, вода, белок яичный), соус «Бешамель» (вода питьевая, маргарин, мука хлебопекарная пшеничная высший сорт, молоко сухое цельное мдж 26%, сахар, загуститель (крахмал кукурузный), соль, мускатный орех), сыр полутвердый мдж 50 % (молоко, мезофильные заквасочные организмы, молокосвертывающий препарат микробного происхождения, соль, уплотнитель хлорид кальция), молокосодержащий продукт с заменителем молочного жира мдж 50% (молоко пастеризо-
ванное, молоко восстановленное из сухого обезжиренного молока, заменитель молочного жира (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде, антиокислитель концентрат смеси токоферолов), соль, закваска мезофильных и термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения, консервант (нитрат калия), краситель аннато, ароматизатор), сыр сухой, усилитель вкуса и аромата E621, ароматизатор «Сливочное масло», ароматизатор «Сыр пармезан», консерванты E202, E211. Может содержать следы молока, глютена, сельдерея, арахиса, орехов, кунжута, горчицы, сои, яиц, рыбы, ракообразных и моллюсков",3
43347,Перец красный сладкий,кг,0.4,"{'rating_average': 4.91, 'rates_count': 62698}","[{'value': '469.99', 'placement_type': 'regular_primary'}]",Цена за 1 кг,"[{'value': '1.3', 'text': 'белки'}, {'value': '0.1', 'text': 'жиры'}, {'value': '5.3', 'text': 'углеводы'}, {'value': '27.0', 'text': 'ккал'}]",перец красный сладкий,5
78009909,Розан с начинкой Черная смородина 120г,шт,1.0,"{'rating_average': 4.92, 'rates_count': 18852}","[{'value': '39.99', 'placement_type': 'regular_primary'}]",120 г,"[{'value': '3.3', 'text': 'белки'}, {'value': '12.49', 'text': 'жиры'}, {'value': '40.8', 'text': 'углеводы'}, {'value': '289.0', 'text': 'ккал'}]","мука пшеничная высший сорт, вода питьевая, начинка термостабильная (сироп глюкозный, вода питьевая, сахар, загустители (крахмал кукурузный модифицированный, Е466), жир растительный, соль поваренная, красители (диоксид титана, бета-каротин, экстракт паприки),консервант - сорбат калия, регулятор кислотности кислота винная, ароматизатор ванилин, эмульгатор (Е435)), маргарин (рафинированные дезодорированные растительные масла (пальмовое, модифицированные пальмовые), вода, эмульгаторы (Е472с, Е475), соль, консерванты (Е200, Е211), краситель (Е160а), ароматизатор масла, регулятор кислотности (Е330)), начинка плодово-ягодная (черная смородина, сахар, загуститель Е1442), регулятор кислотности Е330, консервант Е202), ароматизатор, вода), начинка термостабильная со вкусом клубники (сироп глюкозный, вода питьевая, сахар, загустители: крахмал кукурузный модифицированный, Е466, красители Е120,Е163, ароматизатор, регулятор кислотности лимонная кислота, консервант сорбат калия)), смесь сухая (сахар, загустители (Е1414, Е401), молоко сухое цельное, стабилизаторы (Е339, Е450), ароматизатор, краситель (Е160а), уплотнитель (Е516)), дрожжи, сахар, молоко сухое, соль поваренная пищевая, улучшитель хлебопекарный (пшеничная клейковина,эмульгатор(Е472е), ферментный препарат (пшеничная клейковина,антиокислитель(Е300), ферментные препараты(альфа-амилаза и гемицеллюлаза)),ароматизатор ванилин",2
3368421,Улитка Греческая с курицей и картофелем 160г,шт,1.0,"{'rating_average': 4.91, 'rates_count': 98129}","[{'value': '59.99', 'placement_type': 'regular_primary'}]",160 г,"[{'value': '8.7', 'text': 'белки'}, {'value': '6.7', 'text': 'жиры'}, {'value': '32.6', 'text': 'углеводы'}, {'value': '226.0', 'text': 'ккал'}]","мука хлебопекарная пшеничная в/с, вода, картофель, курица (вареная), лук, майонез (рафинированное дезодорированное подсолнечное масло, вода, яичный желток, соль, загуститель Е1414, регуляторы кислотности (Е330, Е260), стабилизаторы (Е412, Е415), консерванты (Е202, Е211), подсластитель (Е954, Е952), ароматизатор «Горчица», антиокислитель Е385, краситель Е160а), масло рафинированное дезодорированное подсолнечное, сахар, соль, бульон-приправа ароматика со вкусом курицы (соль, усилители вкуса и аромата (Е621, Е635), кукурузный крахмал, сахар, овощи (морковь, чеснок, петрушка, лук), специи (куркума, сельдерей), растительное масло, ароматизаторы, экстракт растительных белков, краситель Е101i), перец черный, укроп, крахмал кукурузный. Продукт содержит глютен, яйца, сельдерей. Возможно содержание следов сои, молока (включая лактозу), кунжута и продуктов их переработки",2
4018544,Ядра арахиса Красная цена жареные соленые 80г,шт,1.0,"{'rating_average': 4.9, 'rates_count': 26610}","[{'value': '37.99', 'placement_type': 'regular_primary'}]",80 г,"[{'value': '28.3', 'text': 'белки'}, {'value': '48.7', 'text': 'жиры'}, {'value': '9.9', 'text': 'углеводы'}, {'value': '590.0', 'text': 'ккал'}]","ядра арахиса, соль, растительное масло",7
809,Бананы Global Village,кг,0.5,"{'rating_average': 4.91, 'rates_count': 404532}","[{'value': '179.99', 'placement_type': 'regular_primary'}]",Цена за 1 кг,"[{'value': '1.1', 'text': 'белки'}, {'value': '0.3', 'text': 'жиры'}, {'value': '23.0', 'text': 'углеводы'}, {'value': '89.0', 'text': 'ккал'}]",бананы,8
